compartments,abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
Acidaminococcus,0.0017818959372772627,0.0,1278,1090,Acidaminococcus,,Cancer3
Actinomyces,0.00142551674982181,0.0,2445,1643,Actinomyces,,Cancer3
Akkermansia,0.04454739843193157,0.0,2274,1386,Akkermansia,,Cancer3
Alistipes,0.016571632216678542,29.72385557003966,2650,1613,Alistipes,,Cancer3
Anaerostipes,0.02975766215253029,-1.035260766002466e-11,2034,1491,Anaerostipes,,Cancer3
Bacteroides,0.0833927298645759,0.0,3307,1887,Bacteroides,,Cancer3
Barnesiella,0.000712758374910905,0.0,2235,1371,Barnesiella,,Cancer3
Bifidobacterium,0.019779044903777618,0.0,3108,1734,Bifidobacterium,,Cancer3
Blautia,0.3749109052031361,0.0,3108,1818,Blautia,,Cancer3
Butyricicoccus,0.007483962936564503,0.0,1915,1442,Butyricicoccus,,Cancer3
Collinsella,0.04419101924447611,0.0,2629,1587,Collinsella,,Cancer3
Dorea,0.02868852459016393,0.0,2368,1614,Dorea,,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.0,2826,1639,Erysipelatoclostridium,,Cancer3
Faecalibacterium,0.09248039914468993,-8.020251129892131e-13,1986,1472,Faecalibacterium,,Cancer3
Faecalitalea,0.0008909479686386313,0.0,994,892,Faecalitalea,,Cancer3
Fusobacterium,0.0016037063435495366,0.0,2197,1602,Fusobacterium,,Cancer3
Haemophilus,0.0003563791874554525,0.0,1504,1246,Haemophilus,,Cancer3
Holdemanella,0.02583749109052031,5.384581669432009e-13,1585,1192,Holdemanella,,Cancer3
Lachnoclostridium,0.004454739843193157,0.0,3174,1970,Lachnoclostridium,,Cancer3
Lachnospira,0.0010691375623663576,0.0,1163,1052,Lachnospira,,Cancer3
Lactobacillus,0.0005345687811831788,0.0,3241,1907,Lactobacillus,,Cancer3
Marvinbryantia,0.016393442622950817,-3.6637359812630166e-13,1996,1375,Marvinbryantia,,Cancer3
Megamonas,0.007305773342836778,0.0,2052,1493,Megamonas,,Cancer3
Megasphaera,0.029935851746258013,0.0,1206,1068,Megasphaera,,Cancer3
Mogibacterium,0.002494654312188168,0.0,955,913,Mogibacterium,,Cancer3
Parabacteroides,0.010869565217391302,0.0,2870,1747,Parabacteroides,,Cancer3
Paraprevotella,0.040627227369921595,0.0,1968,1391,Paraprevotella,,Cancer3
Phascolarctobacterium,0.012116892373485387,0.0,1019,945,Phascolarctobacterium,,Cancer3
Pseudomonas,0.000712758374910905,0.0,2184,1588,Pseudomonas,,Cancer3
Roseburia,0.07840342124019956,0.0,2357,1567,Roseburia,,Cancer3
Streptococcus,0.003920171062009978,0.0,2896,1822,Streptococcus,,Cancer3
Subdoligranulum,0.01532430506058446,-1.5853984791647235e-13,1731,1301,Subdoligranulum,,Cancer3
Sutterella,0.000712758374910905,0.0,1233,1081,Sutterella,,Cancer3
Acidaminococcus,0.0017818959372772627,0.14386891060741439,1278,1090,Acidaminococcus,1.0,Cancer3
Actinomyces,0.00142551674982181,0.02992126041874888,2445,1643,Actinomyces,1.0,Cancer3
Akkermansia,0.04454739843193157,1.356839372931644e-05,2274,1386,Akkermansia,1.0,Cancer3
Alistipes,0.016571632216678542,2.4521876609935296,2650,1613,Alistipes,1.0,Cancer3
Anaerostipes,0.02975766215253029,3.4409263294077765e-05,2034,1491,Anaerostipes,1.0,Cancer3
Bacteroides,0.0833927298645759,0.22741766976397446,3307,1887,Bacteroides,1.0,Cancer3
Barnesiella,0.000712758374910905,0.10632536724318148,2235,1371,Barnesiella,1.0,Cancer3
Bifidobacterium,0.019779044903777618,1.7861762483611965,3108,1734,Bifidobacterium,1.0,Cancer3
Blautia,0.3749109052031361,4.50890976293566e-06,3108,1818,Blautia,1.0,Cancer3
Butyricicoccus,0.007483962936564503,0.00010757990835205211,1915,1442,Butyricicoccus,1.0,Cancer3
Collinsella,0.04419101924447611,2.112788872049747e-05,2629,1587,Collinsella,1.0,Cancer3
Dorea,0.02868852459016393,5.029615178919772e-05,2368,1614,Dorea,1.0,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.00371131559514493,2826,1639,Erysipelatoclostridium,1.0,Cancer3
Faecalibacterium,0.09248039914468993,7.146863377796061e-05,1986,1472,Faecalibacterium,1.0,Cancer3
Faecalitalea,0.0008909479686386313,0.0009092423407248553,994,892,Faecalitalea,1.0,Cancer3
Fusobacterium,0.0016037063435495366,0.011826971246954084,2197,1602,Fusobacterium,1.0,Cancer3
Haemophilus,0.0003563791874554525,0.056425113991446556,1504,1246,Haemophilus,1.0,Cancer3
Holdemanella,0.02583749109052031,1.982702640955232e-05,1585,1192,Holdemanella,1.0,Cancer3
Lachnoclostridium,0.004454739843193157,0.00025116844547533714,3174,1970,Lachnoclostridium,1.0,Cancer3
Lachnospira,0.0010691375623663576,0.0006497849899248228,1163,1052,Lachnospira,1.0,Cancer3
Lactobacillus,0.0005345687811831788,0.0015961898693241153,3241,1907,Lactobacillus,1.0,Cancer3
Marvinbryantia,0.016393442622950817,4.433753866201921e-05,1996,1375,Marvinbryantia,1.0,Cancer3
Megamonas,0.007305773342836778,0.3400650945229515,2052,1493,Megamonas,1.0,Cancer3
Megasphaera,0.029935851746258013,4.42962083344044,1206,1068,Megasphaera,1.0,Cancer3
